entity_id, name
sensor.emporia_emporia_main_panel_today_s_consumption, main_panel
sensor.emporia_emporia_septic_pump_today_s_consumption, septic_pump
sensor.emporia_emporia_office_today_s_consumption, office
sensor.emporia_emporia_garage_today_s_consumption, garage
sensor.emporia_emporia_solar_solar_today_s_consumption, solar
sensor.emporia_emporia_well_pump_today_s_consumption, well_pump
sensor.emporia_emporia_hvac_today_s_consumption, hvac
sensor.emporia_emporia_dryer_today_s_consumption, dryer
sensor.emporia_emporia_shop_subpanel_today_s_consumption, shop_subpanel
sensor.emporia_emporia_car_charger_today_s_consumption, car_charger
sensor.emporia_emporia_total_usage_today_s_consumption, total_usage
sensor.emporia_emporia_grid_balance_today_s_consumption, grid_balance
