entity_id, name, upstream_sensor
sensor.kitchen_fridge_today_s_consumption, kitchen_fridge, none
sensor.basement_fridge_today_s_consumption, basement_fridge, none
sensor.dishwasher_today_s_consumption, dishwasher, none
sensor.drew_side_table_today_s_consumption, drew_side_table, none
sensor.internet_today_s_consumption, internet, none
sensor.landscape_lights_today_s_consumption, landscape_lights, none
sensor.living_room_tv_today_s_consumption, living_room_tv, none
sensor.microwave_today_s_consumption, microwave, none
sensor.unnamed_p115_today_s_consumption, outdoor_inflatable, none
sensor.radon_fan_today_s_consumption, radon_fan, none
sensor.toaster_oven_today_s_consumption, toaster_oven, none
sensor.water_heater_and_softener_today_s_consumption, water_heater_and_softener, none
sensor.garage_lights_today_s_consumption, garage_lights, none
sensor.drew_side_table_this_month_s_consumption, drew_side_table, none
sensor.stairway_light_today_s_consumption, stairway_light, none
sensor.hall_lights_today_s_consumption, hallway_lights, none
sensor.washing_machine_today_s_consumption, washing_machine, none
sensor.computer_lower_today_s_consumption, computer_lower, office
sensor.computer_upper_today_s_consumption, computer_upper, office
sensor.3d_printer_today_s_consumption, 3d_printer, office
sensor.computer_main_today_s_consumption, computer_main, office
