entity_id,state,last_changed
sensor.kitchen_fridge_today_s_consumption,2.337,2025-10-15T05:00:00.000Z
sensor.kitchen_fridge_today_s_consumption,0.0,2025-10-15T05:00:02.910Z
sensor.kitchen_fridge_today_s_consumption,0.001,2025-10-15T05:00:13.910Z
sensor.kitchen_fridge_today_s_consumption,0.002,2025-10-15T05:00:58.912Z
sensor.kitchen_fridge_today_s_consumption,0.003,2025-10-15T05:01:39.007Z
sensor.kitchen_fridge_today_s_consumption,0.004,2025-10-15T05:02:24.047Z
sensor.kitchen_fridge_today_s_consumption,0.005,2025-10-15T05:03:05.931Z
sensor.kitchen_fridge_today_s_consumption,0.006,2025-10-15T05:03:45.960Z
sensor.kitchen_fridge_today_s_consumption,0.007,2025-10-15T05:04:28.054Z
sensor.kitchen_fridge_today_s_consumption,0.008,2025-10-15T05:05:13.918Z
sensor.kitchen_fridge_today_s_consumption,0.009,2025-10-15T05:05:54.467Z
sensor.kitchen_fridge_today_s_consumption,0.01,2025-10-15T05:06:39.925Z
sensor.kitchen_fridge_today_s_consumption,0.011,2025-10-15T05:07:17.994Z
sensor.kitchen_fridge_today_s_consumption,0.012,2025-10-15T05:08:04.171Z
sensor.kitchen_fridge_today_s_consumption,0.013,2025-10-15T05:08:47.917Z
sensor.kitchen_fridge_today_s_consumption,0.014,2025-10-15T05:09:28.921Z
sensor.kitchen_fridge_today_s_consumption,0.015,2025-10-15T05:10:10.295Z
sensor.kitchen_fridge_today_s_consumption,0.016,2025-10-15T05:19:14.952Z
sensor.kitchen_fridge_today_s_consumption,0.017,2025-10-15T05:29:56.049Z
sensor.kitchen_fridge_today_s_consumption,0.018,2025-10-15T05:33:27.913Z
sensor.kitchen_fridge_today_s_consumption,0.019,2025-10-15T05:34:07.904Z
sensor.kitchen_fridge_today_s_consumption,0.02,2025-10-15T05:34:47.913Z
sensor.kitchen_fridge_today_s_consumption,0.021,2025-10-15T05:35:23.371Z
sensor.kitchen_fridge_today_s_consumption,0.022,2025-10-15T05:36:03.067Z
sensor.kitchen_fridge_today_s_consumption,0.023,2025-10-15T05:36:42.957Z
sensor.kitchen_fridge_today_s_consumption,0.024,2025-10-15T05:37:21.155Z
sensor.kitchen_fridge_today_s_consumption,0.025,2025-10-15T05:38:01.280Z
sensor.kitchen_fridge_today_s_consumption,0.026,2025-10-15T05:38:45.990Z
sensor.kitchen_fridge_today_s_consumption,0.027,2025-10-15T05:39:23.908Z
sensor.kitchen_fridge_today_s_consumption,0.028,2025-10-15T05:40:05.968Z
sensor.kitchen_fridge_today_s_consumption,0.029,2025-10-15T05:40:46.012Z
sensor.kitchen_fridge_today_s_consumption,0.03,2025-10-15T05:41:32.089Z
sensor.kitchen_fridge_today_s_consumption,0.031,2025-10-15T05:42:13.958Z
sensor.kitchen_fridge_today_s_consumption,0.032,2025-10-15T05:42:54.012Z
sensor.kitchen_fridge_today_s_consumption,0.033,2025-10-15T05:43:33.948Z
sensor.kitchen_fridge_today_s_consumption,0.034,2025-10-15T05:44:18.961Z
sensor.kitchen_fridge_today_s_consumption,0.035,2025-10-15T05:44:59.227Z
sensor.kitchen_fridge_today_s_consumption,0.036,2025-10-15T05:45:43.933Z
sensor.kitchen_fridge_today_s_consumption,0.037,2025-10-15T05:46:25.941Z
sensor.kitchen_fridge_today_s_consumption,0.038,2025-10-15T05:47:08.377Z
sensor.kitchen_fridge_today_s_consumption,unavailable,2025-10-15T05:47:57.011Z
sensor.kitchen_fridge_today_s_consumption,0.039,2025-10-15T05:48:13.496Z
sensor.kitchen_fridge_today_s_consumption,0.04,2025-10-15T05:48:34.382Z
sensor.kitchen_fridge_today_s_consumption,0.041,2025-10-15T05:49:14.404Z
sensor.kitchen_fridge_today_s_consumption,0.042,2025-10-15T05:49:49.019Z
sensor.kitchen_fridge_today_s_consumption,0.043,2025-10-15T05:50:28.911Z
sensor.kitchen_fridge_today_s_consumption,0.044,2025-10-15T05:51:09.609Z
sensor.kitchen_fridge_today_s_consumption,0.045,2025-10-15T05:51:45.920Z
sensor.kitchen_fridge_today_s_consumption,0.046,2025-10-15T05:52:21.934Z
sensor.kitchen_fridge_today_s_consumption,0.047,2025-10-15T05:53:01.936Z
sensor.kitchen_fridge_today_s_consumption,0.048,2025-10-15T05:53:42.007Z
sensor.kitchen_fridge_today_s_consumption,0.049,2025-10-15T05:54:19.999Z
